Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Protected Generic Method,"org.apache.activemq.web.BrokerFacadeSupport.getManagedObjects",11,,,4,1,3,,,2
TypeVariable,"org.apache.activemq.web.BrokerFacadeSupport.getManagedObjects.T",0,,,0,0,0,0,0,0
Public Abstract Method,"org.apache.activemq.web.BrokerFacadeSupport.getManagementContext",1,,,1,0,0,,,0
Public Method,"org.apache.activemq.web.BrokerFacadeSupport.getNetworkConnectors",7,,,4,1,1,,,0
Public Method,"org.apache.activemq.web.BrokerFacadeSupport.getQueue",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.BrokerFacadeSupport.getQueueConsumers",7,,,5,1,1,,,0
Public Method,"org.apache.activemq.web.BrokerFacadeSupport.getQueues",8,,,3,1,2,,,1
Public Method,"org.apache.activemq.web.BrokerFacadeSupport.getTopic",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.BrokerFacadeSupport.getTopics",8,,,3,1,2,,,1
Public Class,"org.apache.activemq.web.DestinationFacade",81,,,25,17,26,1,3,1
Public Constructor,"org.apache.activemq.web.DestinationFacade.DestinationFacade",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.addDestination",7,,,1,1,2,,,1
Protected Method,"org.apache.activemq.web.DestinationFacade.createDestination",4,,,2,1,2,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.getBrokerAdmin",10,,,2,1,3,,,1
Public Method,"org.apache.activemq.web.DestinationFacade.getBrokerFacade",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.getJMSDestination",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.getJMSDestinationType",3,,,1,1,1,,,0
Protected Method,"org.apache.activemq.web.DestinationFacade.getPhysicalDestinationName",3,,,1,1,1,,,0
Protected Method,"org.apache.activemq.web.DestinationFacade.getQueueView",4,,,2,1,1,,,0
Protected Method,"org.apache.activemq.web.DestinationFacade.getValidDestination",6,,,1,1,2,,,1
Public Method,"org.apache.activemq.web.DestinationFacade.isQueue",6,,,1,1,3,,,1
