Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Package,"ch",0,0,,0,0,0,0,0,0
Package,"ch.qos",0,0,,0,0,0,0,0,0
Package,"ch.qos.logback",0,0,,0,0,0,0,0,0
Package,"ch.qos.logback.classic",108,1,,47,10,10,1,1,0
Public Class,"ch.qos.logback.classic.LoggerSerializationTest",99,,,38,10,10,1,1,0
Public Method,"ch.qos.logback.classic.LoggerSerializationTest.basicSerialization",6,,,3,1,1,,,0
Public Method,"ch.qos.logback.classic.LoggerSerializationTest.deepTreeSerialization",34,,,5,1,1,,,0
Method,"ch.qos.logback.classic.LoggerSerializationTest.readFooObject",3,,,1,1,1,,,0
Private Method,"ch.qos.logback.classic.LoggerSerializationTest.readObject",3,,,1,1,1,,,0
Public Method,"ch.qos.logback.classic.LoggerSerializationTest.setUp",7,,,1,1,1,,,0
Public Method,"ch.qos.logback.classic.LoggerSerializationTest.tearDown",4,,,1,1,1,,,0
Public Method,"ch.qos.logback.classic.LoggerSerializationTest.testCompatibilityWith_v1_0_11",7,,,4,1,1,,,0
Public Method,"ch.qos.logback.classic.LoggerSerializationTest.testCompatibilityWith_v1_0_12",7,,,4,1,1,,,0
Private Method,"ch.qos.logback.classic.LoggerSerializationTest.writeAndRead",8,,,3,1,1,,,0
Private Method,"ch.qos.logback.classic.LoggerSerializationTest.writeObject",5,,,1,1,1,,,0
Package,"ch.qos.logback.classic.net",144,1,,48,16,27,1,5,2
Public Class,"ch.qos.logback.classic.net.SimpleSocketServer",130,,,34,16,27,1,5,2
Public Constructor,"ch.qos.logback.classic.net.SimpleSocketServer.SimpleSocketServer",4,,,1,1,1,,,0
Public Method,"ch.qos.logback.classic.net.SimpleSocketServer.close",21,,,1,1,5,,,2
Public Static Method,"ch.qos.logback.classic.net.SimpleSocketServer.configureLC",6,,,2,1,1,,,0
Protected Static Method,"ch.qos.logback.classic.net.SimpleSocketServer.doMain",13,,,5,1,2,,,1
