@relation software_metrics_vpm

@attribute Kind string
@attribute Name string
@attribute CountLineCode numeric
@attribute CountDeclClass numeric
@attribute CountDeclFunction numeric
@attribute CountLineCodeDecl numeric
@attribute SumEssential numeric
@attribute SumCyclomaticStrict numeric
@attribute MaxEssential numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxNesting numeric
@attribute class {pos,neg}

@data
File,"AjpProcessor.java",377,2,17,86,34,72,8,26,4,pos
File,"AjpProcessor.java",222,1,9,49,24,50,8,27,4,pos
File,"AjpProtocol.java",186,3,16,64,20,35,5,8,3,pos
File,"AlgorithmParametersSpi.java",141,1,9,44,9,26,1,6,3,pos
File,"AllowAllHostnameVerifier.java",16,1,1,9,1,3,1,3,1,pos
File,"AllowSymLinkAliasChecker.java",78,1,1,21,8,16,8,16,5,pos
File,"AllowSymLinkAliasChecker.java",59,1,1,18,6,10,6,10,5,pos
File,"AlterConnectionFunction.java",65,1,6,41,6,10,1,3,1,pos
File,"AlterConnectionFunction.java",57,1,5,35,5,9,1,3,1,pos
File,"AlterMappingFunction.java",66,1,6,42,6,12,1,4,1,pos
File,"AlterMappingFunction.java",58,1,5,36,5,11,1,4,1,pos
File,"AlterRuntimeConfigFunction.java",63,1,2,35,2,10,1,9,3,pos
File,"AlterRuntimeConfigFunction.java",71,1,3,41,3,11,1,9,3,pos
File,"AlternativeJdkIdGenerator.java",27,1,2,14,2,4,1,3,1,pos
File,"AmazonEC2Cloud.java",121,2,13,57,15,24,3,5,2,pos
File,"AmbariServer.java",524,2,13,222,13,32,1,9,2,pos
File,"AmqpTestSupport.java",379,1,36,143,36,62,1,12,3,pos
File,"AnnotatedLargeText.java",109,1,10,56,14,21,5,7,4,pos
File,"AnnotationFactory.java",35,1,2,18,4,4,3,3,1,pos
File,"AnnotationMetaDataProvider.java",445,2,30,158,38,73,3,9,3,pos
File,"AnnotationProxy.java",184,1,11,53,19,45,6,11,2,pos
File,"AnnotationProxy.java",189,1,12,57,20,47,6,11,2,pos
File,"AnnotationProxyTest.java",316,7,73,188,29,32,1,4,2,pos
File,"AnnotationViewGenerator.java",210,1,10,88,10,27,1,7,3,pos
File,"AnsibleAdHocCommandBuilder.java",170,2,18,84,18,24,1,7,2,pos
File,"AnsibleAdHocCommandInvocationTest.java",147,1,6,73,6,6,1,1,0,pos
File,"AnsibleContext.java",184,1,50,83,50,50,1,1,0,pos
File,"AnsibleJobDslExtension.java",72,1,3,24,3,3,1,1,0,pos
File,"AnsiblePlaybookBuilder.java",209,2,25,103,25,32,1,6,2,pos
File,"AnsiblePlaybookStep.java",308,3,48,153,48,56,1,5,2,pos
File,"AntiSamyTest.java",789,1,49,285,49,77,1,5,2,pos
File,"AnyTypeValidator.java",32,1,1,10,1,7,1,7,1,pos
File,"Api.java",155,1,10,62,20,36,9,19,5,pos
File,"ApiTokenFilter.java",47,1,3,29,6,7,4,5,4,pos
File,"ApiTokenProperty.java",69,2,10,37,10,12,1,2,1,pos
File,"ApiTokenProperty.java",69,2,10,37,10,12,1,2,1,pos
File,"ApiTokenPropertyTest.java",47,4,4,23,4,4,1,1,0,pos
File,"AppModule.java",230,11,31,80,31,37,1,3,2,pos
File,"ApplicationArchive.java",392,1,30,170,36,78,3,6,3,pos
File,"ApplicationContext.java",941,2,70,297,125,215,8,15,3,pos
File,"ApplicationContext.java",613,2,48,186,96,151,9,13,3,pos
File,"ApplicationContext.java",847,2,62,278,119,199,9,13,3,pos
File,"ApplicationHttpRequest.java",436,2,40,124,80,123,6,12,3,pos
