Name, java:S2039, java:S2384, java:S2658, java:S2755, java:S1148, java:S1444, java:S899, java:S5542, java:S2386, java:S2976, java:S2612, java:S5527, java:S4830, java:S3329, java:S4423, java:S4433, java:S4426, java:S2115, java:S2647, class
43bf93f94ec1bbf5efde6007f70b911b9322825d/Http2UpgradeHandler.java, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
f0f100b6d8c24a65d8d2f3228e750e614ab96375/JspConfig.java, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e8fbf5b95404860884093826586fcadc66aed0fe/OrderInterceptor.java, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
6755a7a0fb68d23688b2dc7f26325708d8e1790e/TestNonBlockingAPI.java, 7, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
f6baef98988a1f98392df287cc6ea7ed763d60b1/HTMLManagerServlet.java, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
f6baef98988a1f98392df287cc6ea7ed763d60b1/ManagerServlet.java, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
f6baef98988a1f98392df287cc6ea7ed763d60b1/OpenSSLContext.java, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
3716f923f826ca10385b4d56851f50e4086a358c/Benchmarks.java, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
3716f923f826ca10385b4d56851f50e4086a358c/TestLimitLatch.java, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e67a33f15d980cba3efbb272985b610a7609e686/Digester.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e67a33f15d980cba3efbb272985b610a7609e686/Library.java, 0, 0, 0, 0, 1, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e67a33f15d980cba3efbb272985b610a7609e686/NioBlockingSelector.java, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
e67a33f15d980cba3efbb272985b610a7609e686/NioEndpoint.java, 1, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8c3614bb6d5cf2163e479f96319f1df54c623291/NioEndpoint.java, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
df977a6b99b82f1d8f664fa0bd24c7989c69f6f2/Catalina.java, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8000f8ed79bd804ebd8b208d8f840753153a4c37/NamingContextListener.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
ac66c63f519c1a4fa45ceff95aa37552b98758de/UriTemplate.java, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
237b7fd0d05c34fd9cbe81479a034feadacaca0a/JDTCompiler.java, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
1aed38ebafac218bb259867355c290b5981331ef/InternalNioInputBuffer.java, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
1aed38ebafac218bb259867355c290b5981331ef/InternalNioOutputBuffer.java, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
8deab25d818f00975f9cb82490f8cc87a5d128de/JspUtil.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
50c8629c194613dafac7fa686575a5eeb5a08c4e/BasicManagedDataSource.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
50c8629c194613dafac7fa686575a5eeb5a08c4e/CloudMembershipService.java, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
50c8629c194613dafac7fa686575a5eeb5a08c4e/LookupFactory.java, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
93a1682bbc2c71005c1d64e34c316a2e89e32dfc/NioEndpoint.java, 1, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
ec4766dbb689816f7c8e4c9c7abafb66dc485b48/JreMemoryLeakPreventionListener.java, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
c62262a154ef436d9adbc98cffde93034060d602/Stream.java, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
1c869cf7dd7f26ca5283fb7e208b7261e2dfbee1/WsFrame.java, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
f90403b9f8f74d1c48fd64667e0eab4b2be42725/AbstractCatalinaTask.java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, neg
16373136fd85486bb6cf5abc274171105938a562/PoolProperties.java, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
16373136fd85486bb6cf5abc274171105938a562/QueryTimeoutInterceptor.java, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/BaseCatalinaMBean.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/BaseGenericObjectPool.java, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/BasicDataSource.java, 0, 1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/BeanFactory.java, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/Bootstrap.java, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/ChannelCreator.java, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/ClassLoaderLogManager.java, 7, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/ConnectionPool.java, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/ContextConfig.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/CsrfPreventionFilterBase.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/Digester.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
a707e35540bacabd943548469d88148d26c8d521/DirectJDKLog.java, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, neg
