severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-02T22:38:45+0200		75.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""SECRET""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=75.0, endLine=75.0, startOffset=21.0, endOffset=27.0}	5min	AXMRUdNPN9GdxjDXOWYu	9f14ccf6d6830df43c56b2487cfd0eef	OPEN
MINOR	2020-07-02T22:38:45+0200		76.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""SEALED""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=76.0, endLine=76.0, startOffset=21.0, endOffset=27.0}	5min	AXMRUdNPN9GdxjDXOWYv	e17f86b4e56bb76f8c9bb480022e3ca0	OPEN
MINOR	2020-07-02T22:38:45+0200		81.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""KEY_PRIVATE""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=81.0, endLine=81.0, startOffset=24.0, endOffset=35.0}	5min	AXMRUdNPN9GdxjDXOWYw	4abe068b1c95b320db8109da4879bfb9	OPEN
MINOR	2020-07-02T22:38:45+0200		82.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""KEY_PUBLIC""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=82.0, endLine=82.0, startOffset=24.0, endOffset=34.0}	5min	AXMRUdNPN9GdxjDXOWYx	c37418c6585385757662754016e1204e	OPEN
MINOR	2020-07-02T22:38:45+0200		83.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""KEY_SECRET""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=83.0, endLine=83.0, startOffset=24.0, endOffset=34.0}	5min	AXMRUdNPN9GdxjDXOWYy	92440a224d64e3f88ceb68a8c3a8c7df	OPEN
MINOR	2020-07-02T22:38:45+0200		95.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""type""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=95.0, endLine=95.0, startOffset=24.0, endOffset=28.0}	5min	AXMRUdNPN9GdxjDXOWYz	961b4204667a4ae2ff8dd374e6728ade	OPEN
MINOR	2020-07-02T22:38:45+0200		96.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""alias""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=96.0, endLine=96.0, startOffset=24.0, endOffset=29.0}	5min	AXMRUdNPN9GdxjDXOWY0	59fb484238323ae5d7d9514f8e0785e5	OPEN
MINOR	2020-07-02T22:38:45+0200		97.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""obj""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=97.0, endLine=97.0, startOffset=24.0, endOffset=27.0}	5min	AXMRUdNPN9GdxjDXOWY1	b907c3b1813ed5337e8f8b30f31ed00a	OPEN
MINOR	2020-07-02T22:38:45+0200		98.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""certChain""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=98.0, endLine=98.0, startOffset=24.0, endOffset=33.0}	5min	AXMRUdNPN9GdxjDXOWY2	c8ac3fd13d42e2d3cdd62dc31c6b2c73	OPEN
MINOR	2020-07-02T22:38:45+0200		99.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""date""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/512/81b00861cd5711e85fe8dce2a0e119f684120255/BcKeyStoreSpi.java		default-organization	{startLine=99.0, endLine=99.0, startOffset=24.0, endOffset=28.0}	5min	AXMRUdNPN9GdxjDXOWY3	969e7728b0cee3d65dab8ee679b5dbb6	OPEN
