severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-03T17:57:05+0200		89.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""maxActiveApplicationsPerUser""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=89.0, endLine=89.0, startOffset=8.0, endOffset=36.0}	5min	AXMVa5vAkLspzIj1dBJw	c104b6fcd50f472b2905c60268199f4d	OPEN
MINOR	2020-07-03T17:57:05+0200		90.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""userLimit""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=90.0, endLine=90.0, startOffset=8.0, endOffset=17.0}	5min	AXMVa5vAkLspzIj1dBJx	c6565bba1c157c8efe09cbdaf7bc5cc7	OPEN
MINOR	2020-07-03T17:57:05+0200		91.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""userLimitFactor""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=91.0, endLine=91.0, startOffset=10.0, endOffset=25.0}	5min	AXMVa5vAkLspzIj1dBJy	79fb8fae27e59617c720eb72f0dc8ed3	OPEN
BLOCKER	2020-07-03T17:57:05+0200		219.0		java:S2755	Prova_Mining_Second_Part	15min	Disable access to external entities in XML parsing.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=219.0, endLine=219.0, startOffset=56.0, endOffset=67.0}	15min	AXMVa5vAkLspzIj1dBJf	bca74f470a192baef9933c0a00443593	OPEN
BLOCKER	2020-07-03T17:57:05+0200		498.0		java:S2755	Prova_Mining_Second_Part	15min	Disable access to external entities in XML parsing.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1616/720de7eb4ca310e8d800938fbb56fd4de06fc6a5/TestRMWebServicesCapacitySched.java		default-organization	{startLine=498.0, endLine=498.0, startOffset=50.0, endOffset=61.0}	15min	AXMVa5vAkLspzIj1dBJg	bdc6b56e2ba221dec05c97fad78a275a	OPEN
CRITICAL	2020-07-03T17:57:05+0200		130.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1622/3479e5fecc4a3c91009a862f679be146a6852833/PolicyRuleWizardBuilder.java		default-organization	{startLine=130.0, endLine=130.0, startOffset=57.0, endOffset=64.0}	45min	AXMVa5zHkLspzIj1dBLx	05e8d8c9026236dbb0ff3fe5954456b6	OPEN
CRITICAL	2020-07-03T17:57:05+0200		133.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/JobInstanceLoader.java		default-organization	{startLine=133.0, endLine=133.0, startOffset=31.0, endOffset=38.0}	45min	AXMVa5xVkLspzIj1dBKm	3d7f5502f9b6af6daec2b2fa7e90a7c9	OPEN
CRITICAL	2020-07-03T17:57:05+0200		145.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/JobInstanceLoader.java		default-organization	{startLine=145.0, endLine=145.0, startOffset=48.0, endOffset=55.0}	45min	AXMVa5xVkLspzIj1dBKn	9b53ead1df6fb00b84cacd0e07224848	OPEN
CRITICAL	2020-07-03T17:57:05+0200		223.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/ReportController.java		default-organization	{startLine=223.0, endLine=223.0, startOffset=47.0, endOffset=54.0}	45min	AXMVa5xskLspzIj1dBKw	0b855c53fb932521c1339b212201197a	OPEN
CRITICAL	2020-07-03T17:57:05+0200		152.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/ReportJob.java		default-organization	{startLine=152.0, endLine=152.0, startOffset=43.0, endOffset=50.0}	45min	AXMVa5xnkLspzIj1dBKv	533cf189571545aae896b70839337679	OPEN
